Environment,Material Family,Rate (mm/yr),Concentration_%,Temperature_C,Environment_encode,Material Family_encode,Temp_Conc_Interaction,Aggressiveness_Index,Conc_Squared,Temp_Squared,Log_Temperature,Log_Concentration,Rate_Log
Acetaldehyde,Titanium and alloys,0.001,75.0,149.0,0,47,11175.0,645.2792677026633,5625.0,22201.0,5.0106352940962555,4.330733340286331,0.0009995003330835331
Acetaldehyde,Titanium and alloys,0.05,100.0,149.0,0,47,14900.0,687.6529570093477,10000.0,22201.0,5.0106352940962555,4.61512051684126,0.048790164169432
Acetaldehyde,Austenitic,0.003,100.0,61.0,0,7,6100.0,281.52235152731686,10000.0,3721.0,4.127134385045092,4.61512051684126,0.002995508979798479
Acetaldehyde,Austenitic,0.1,70.0,118.0,0,7,8260.0,502.99622549087525,4900.0,13924.0,4.77912349311153,4.2626798770413155,0.09531017980432487
Acetaldehyde,Austenitic,0.05,70.0,104.0,0,7,7280.0,443.31870721229683,4900.0,10816.0,4.653960350157523,4.2626798770413155,0.048790164169432
Acetaldehyde,Austenitic,0.05,50.0,92.0,0,7,4600.0,361.72795821063795,2500.0,8464.0,4.532599493153256,3.9318256327243257,0.048790164169432
Acetaldehyde,Austenitic,0.003,70.0,100.5,0,7,7035.0,428.3993276426522,4900.0,10100.25,4.620058798481842,4.2626798770413155,0.002995508979798479
Acetaldehyde,Austenitic,0.003,100.0,61.0,0,7,6100.0,281.52235152731686,10000.0,3721.0,4.127134385045092,4.61512051684126,0.002995508979798479
Acetaldehyde,Austenitic,0.05,97.5,66.0,0,7,6435.0,302.94373217975084,9506.25,4356.0,4.204692619390966,4.590056548178043,0.048790164169432
Acetaldehyde,Austenitic,0.05,50.0,92.0,0,7,4600.0,361.72795821063795,2500.0,8464.0,4.532599493153256,3.9318256327243257,0.048790164169432
Acetaldehyde,Austenitic,0.05,50.0,92.0,0,7,4600.0,361.72795821063795,2500.0,8464.0,4.532599493153256,3.9318256327243257,0.048790164169432
Acetaldehyde,Austenitic,0.003,70.0,104.0,0,7,7280.0,443.31870721229683,4900.0,10816.0,4.653960350157523,4.2626798770413155,0.002995508979798479
Acetaldehyde,Austenitic,0.018,70.0,118.0,0,7,8260.0,502.99622549087525,4900.0,13924.0,4.77912349311153,4.2626798770413155,0.017839918128331
Acetic Acid,Copper,0.06,90.0,40.0,1,14,3600.0,180.434380260674,8100.0,1600.0,3.713572066704308,4.51085950651685,0.05826890812397577
Acetic Acid,Copper,0.03,90.0,40.0,1,14,3600.0,180.434380260674,8100.0,1600.0,3.713572066704308,4.51085950651685,0.0295588022415444
Acetic Acid,Copper,0.09,90.0,40.0,1,14,3600.0,180.434380260674,8100.0,1600.0,3.713572066704308,4.51085950651685,0.08617769624105233
Acetic Acid,Copper,0.09,90.0,40.0,1,14,3600.0,180.434380260674,8100.0,1600.0,3.713572066704308,4.51085950651685,0.08617769624105233
Acetic Acid,Lead and alloys,1.05,0.1,20.0,1,20,2.0,1.9062035960864974,0.010000000000000002,400.0,3.044522437723423,0.09531017980432487,0.7178397931503169
Acetic Acid,Lead and alloys,1.23,1.0,20.0,1,20,20.0,13.862943611198906,1.0,400.0,3.044522437723423,0.6931471805599453,0.8020015854720274
Acetic Acid,Lead and alloys,1.33,2.0,20.0,1,20,40.0,21.972245773362197,4.0,400.0,3.044522437723423,1.0986122886681098,0.8458682675776092
Acetic Acid,Lead and alloys,1.58,3.0,20.0,1,20,60.0,27.725887222397812,9.0,400.0,3.044522437723423,1.3862943611198906,0.9477893989335261
Acetic Acid,Tin and alloys,0.05,10.0,20.0,1,45,200.0,47.95790545596741,100.0,400.0,3.044522437723423,2.3978952727983707,0.048790164169432
Acetic Acid,Tin and alloys,1.5,10.0,60.0,1,45,600.0,143.87371636790223,100.0,3600.0,4.110873864173311,2.3978952727983707,0.9162907318741551
Acetic Acid,Tin and alloys,1.5,10.0,100.0,1,45,1000.0,239.78952727983707,100.0,10000.0,4.61512051684126,2.3978952727983707,0.9162907318741551
Acetic Acid,Nickel,0.81,100.0,100.0,1,25,10000.0,461.512051684126,10000.0,10000.0,4.61512051684126,4.61512051684126,0.5933268452777344
Acetic Acid,Nickel,0.71,50.0,100.0,1,25,5000.0,393.18256327243256,2500.0,10000.0,4.61512051684126,3.9318256327243257,0.5364933705145685
Acetic Acid,Nickel,0.084,30.0,30.0,1,25,900.0,103.01961613455438,900.0,900.0,3.4339872044851463,3.4339872044851463,0.08065790301745447
Acetic Acid,Nickel,0.11,50.0,30.0,1,25,1500.0,117.95476898172977,2500.0,900.0,3.4339872044851463,3.9318256327243257,0.10436001532424277
Acetic Acid,Nickel,0.009,99.9,116.0,1,25,11588.400000000001,535.2390715737093,9980.010000000002,13456.0,4.762173934797756,4.6141299273595635,0.008959741371471902
Acetic Acid,Nickel,0.025,100.0,100.0,1,25,10000.0,461.512051684126,10000.0,10000.0,4.61512051684126,4.61512051684126,0.0246926125903715
Acetic Acid,Nickel,1.6,50.0,100.0,1,25,5000.0,393.18256327243256,2500.0,10000.0,4.61512051684126,3.9318256327243257,0.9555114450274363
Acetic Acid,Nickel,0.11,99.0,100.0,1,25,9900.0,460.51701859880916,9801.0,10000.0,4.61512051684126,4.605170185988092,0.10436001532424277
Acetic Acid,Nickel,0.036,100.0,100.0,1,25,10000.0,461.512051684126,10000.0,10000.0,4.61512051684126,4.61512051684126,0.03536714383729131
Acetic Acid,Nickel,0.076,50.0,100.0,1,25,5000.0,393.18256327243256,2500.0,10000.0,4.61512051684126,3.9318256327243257,0.07325046173959267
Acetic Acid,Nickel,0.007,5.0,116.0,1,25,580.0,207.84409843045438,25.0,13456.0,4.762173934797756,1.791759469228055,0.006975613736425242
Acetic Acid,Nickel,0.0025,10.0,30.0,1,25,300.0,71.93685818395112,100.0,900.0,3.4339872044851463,2.3978952727983707,0.002496880198587199
Acetic Acid,Nickel,0.006,50.0,30.0,1,25,1500.0,117.95476898172977,2500.0,900.0,3.4339872044851463,3.9318256327243257,0.005982071677547464
Acetic Acid,Nickel,0.003,99.9,30.0,1,25,2997.0,138.42389782078692,9980.010000000002,900.0,3.4339872044851463,4.6141299273595635,0.002995508979798479
Acetic Acid,Nickel-chromium-iron,1.161,10.0,80.0,1,28,800.0,191.83162182386965,100.0,6400.0,4.394449154672439,2.3978952727983707,0.770571077524749
Acetic Acid,Nickel-chromium-iron,0.554,10.0,80.0,1,28,800.0,191.83162182386965,100.0,6400.0,4.394449154672439,2.3978952727983707,0.4408322519454557
Acetic Acid,Nickel-chromium-iron,0.0013,2.0,30.0,1,28,60.0,32.95836866004329,4.0,900.0,3.4339872044851463,1.0986122886681098,0.0012991557316200499
Acetic Acid,Nickel-chromium-iron,0.002,5.0,116.0,1,28,580.0,207.84409843045438,25.0,13456.0,4.762173934797756,1.791759469228055,0.001998002662673056
Acetic Acid,Nickel-chromium-iron,0.0005,10.0,30.0,1,28,300.0,71.93685818395112,100.0,900.0,3.4339872044851463,2.3978952727983707,0.000499875041651048
