Environment,Material Family,Rate (mm/yr),Concentration_%,Temperature_C,Environment_encode,Material Family_encode,Temp_Conc_Interaction,Aggressiveness_Index,Conc_Squared,Temp_Squared,Log_Temperature,Log_Concentration,Rate_Log,Pred_DL(mm/yr),Pred_RF(mm/yr),Pred_XGB(mm/yr),Pred_Ensemble(mm/yr),DL_Class,RF_Class,XGB_Class,Ensemble_Class
Oxalic Acid,Austenitic,1.22,10.0,100.0,80,7,1000.0,239.78952727983707,100.0,10000.0,4.61512051684126,2.3978952727983707,0.7975071958841881,1.2381054,0.7389348164935381,0.87458503,0.9505417550848416,High,Medium,Medium,Medium
Fluosilicic Acid,Lead and alloys,0.4,5.0,45.0,52,20,225.0,80.62917611526247,25.0,2025.0,3.828641396489095,1.791759469228055,0.3364722366212129,0.38857508,0.3038170321889666,0.35792235,0.350104818215236,Medium,Medium,Medium,Medium
Formic Acid,Austenitic,0.05,10.0,20.0,54,7,200.0,47.95790545596741,100.0,400.0,3.044522437723423,2.3978952727983707,0.048790164169432,0.034647644,0.1641207678108935,0.20677292,0.1351804449488562,Low,Medium,Medium,Medium
Acetic Acid,Martensitic,0.75,10.0,50.0,1,23,500.0,119.89476363991854,100.0,2500.0,3.9318256327243257,2.3978952727983707,0.5596157879354227,0.74454296,0.7613395147588298,0.64853907,0.7181405124752537,Medium,Medium,Medium,Medium
Ammonium Fluoride,Austenitic,0.24,10.0,25.0,12,7,250.0,59.94738181995927,100.0,625.0,3.258096538021482,2.3978952727983707,0.2151113796169455,0.22384611,0.2014422042364012,0.3380424,0.2544435733952168,Medium,Medium,Medium,Medium
Formic Acid,Austenitic,0.05,100.0,20.0,54,7,2000.0,92.3024103368252,10000.0,400.0,3.044522437723423,4.61512051684126,0.048790164169432,0.034345508,0.1578636816526393,0.20677292,0.1329940375813159,Low,Medium,Medium,Medium
Formic Acid,Austenitic,0.75,80.0,100.0,54,7,8000.0,439.4449154672439,6400.0,10000.0,4.61512051684126,4.394449154672439,0.5596157879354227,0.7311844,0.6356394279613367,0.6005417,0.6557885205949104,Medium,Medium,Medium,Medium
Hydroxylamine Sulfate,Austenitic,0.05,10.0,20.0,65,7,200.0,47.95790545596741,100.0,400.0,3.044522437723423,2.3978952727983707,0.048790164169432,0.040462613,0.1550463475698047,0.20677292,0.1340939613817073,Low,Medium,Medium,Medium
Formic Acid,Austenitic,0.05,100.0,20.0,54,7,2000.0,92.3024103368252,10000.0,400.0,3.044522437723423,4.61512051684126,0.048790164169432,0.034345508,0.1578636816526393,0.20677292,0.1329940375813159,Low,Medium,Medium,Medium
Sodium Silicate,Tin and alloys,0.015,0.1,60.0,112,45,6.0,5.718610788259492,0.01,3600.0,4.110873864173311,0.0953101798043248,0.0148886124937506,0.003258288,0.2277368185105643,0.19895768,0.1433175960243649,Low,Medium,Medium,Medium
Phosphoric Acid,Austenitic,0.05,1.0,20.0,83,7,20.0,13.862943611198906,1.0,400.0,3.044522437723423,0.6931471805599453,0.048790164169432,0.03736189,0.1668433873552235,0.20677292,0.1369927336341193,Low,Medium,Medium,Medium
Acetic Acid,Ferritic,0.75,50.0,20.0,1,18,1000.0,78.63651265448651,2500.0,400.0,3.044522437723423,3.9318256327243257,0.5596157879354227,0.7455107,0.6419320650612087,0.6085911,0.6653446140459766,Medium,Medium,Medium,Medium
Calcium Chloride,Austenitic,0.3,10.0,21.0,28,7,210.0,50.355800728765786,100.0,441.0,3.091042453358316,2.3978952727983707,0.262364264467491,0.2860201,0.2016278639109683,0.3473197,0.2783225521336579,Medium,Medium,Medium,Medium
Nitric Acid,Austenitic,0.05,7.0,20.0,79,7,140.0,41.58883083359672,49.0,400.0,3.044522437723423,2.079441541679836,0.048790164169432,0.03573051,0.1525492126083909,0.20677292,0.1316842156760076,Low,Medium,Medium,Medium
Oxalic Acid,Austenitic,0.05,5.0,20.0,80,7,100.0,35.8351893845611,25.0,400.0,3.044522437723423,1.791759469228055,0.048790164169432,0.039095223,0.1743178115539838,0.20677292,0.1400619859911696,Low,Medium,Medium,Medium
Chlorosulfonic Acid,Ferritic,1.5,10.0,20.0,36,18,200.0,47.95790545596741,100.0,400.0,3.044522437723423,2.3978952727983707,0.9162907318741552,1.5058048,0.9681819368429352,1.0042884,1.1594250496568737,High,Medium,High,High
Nitric Acid,Cobalt and alloys,0.15,65.0,100.0,79,13,6500.0,418.9654742026425,4225.0,10000.0,4.61512051684126,4.189654742026425,0.1397619423751587,0.1293332,0.2923560816352517,0.25411025,0.2252665088675072,Medium,Medium,Medium,Medium
Magnesium Chloride,Duplex,0.05,10.0,20.0,71,17,200.0,47.95790545596741,100.0,400.0,3.044522437723423,2.3978952727983707,0.048790164169432,0.038300395,0.1660646569188442,0.20677292,0.1370459918000965,Low,Medium,Medium,Medium
Sulfuric Acid,Austenitic,0.75,7.5,100.0,120,7,750.0,214.00661634962708,56.25,10000.0,4.61512051684126,2.1400661634962708,0.5596157879354227,0.73920417,0.6918570492932227,0.6278894,0.6863168707910189,Medium,Medium,Medium,Medium
Nitric Acid,Austenitic,0.05,7.0,20.0,79,7,140.0,41.58883083359672,49.0,400.0,3.044522437723423,2.079441541679836,0.048790164169432,0.03573051,0.1525492126083909,0.20677292,0.1316842156760076,Low,Medium,Medium,Medium
